dataset,method,repetition,repetition_name,idx,AP50_class1,mAP_class1,average_AP50,average_mAP,AP50_class2,mAP_class2,AP50_class3,mAP_class3,AP50_class4,mAP_class4,AP50_class5,mAP_class5,AP50_class6,mAP_class6
conic,nnunet,3,3,glas_46,0.0,0.0,0.26341211795806885,0.16925404965877533,0.19012796878814697,0.10257488489151001,0.6747573018074036,0.4967733323574066,0.20000000298023224,0.16772446036338806,0.0,0.0,0.5155875086784363,0.2484515905380249
conic,nnunet,3,3,glas_51,0.0,0.0,0.251472145318985,0.15619264543056488,0.23826715350151062,0.12735798954963684,0.6511628031730652,0.4758704602718353,0.0,0.0,0.0,0.0,0.6194030046463013,0.33392736315727234
conic,nnunet,3,3,glas_59,0.0,0.0,0.23904435336589813,0.15446071326732635,0.2708333432674408,0.13684497773647308,0.4736842215061188,0.37691226601600647,0.0,0.0,,,0.4507042169570923,0.258546382188797
conic,nnunet,3,3,glas_60,0.0,0.0,0.31714126467704773,0.20163150131702423,0.3142174482345581,0.17167899012565613,0.6476190686225891,0.43081244826316833,0.1428571492433548,0.09714286029338837,,,0.4810126721858978,0.30852311849594116
conic,nnunet,3,3,consep_3,0.0,0.0,0.29151153564453125,0.17522482573986053,,,0.6712328791618347,0.45971742272377014,0.23076923191547394,0.12500734627246857,0.0,0.0,0.5555555820465088,0.29139935970306396
conic,nnunet,3,3,consep_6,,,0.3825564682483673,0.22369511425495148,0.4583333432674408,0.2572717070579529,0.5698924660682678,0.33743515610694885,0.4166666567325592,0.22007068991661072,0.0,0.0,0.4678899049758911,0.3036979138851166
conic,nnunet,3,3,consep_9,0.375,0.284722238779068,0.27445173263549805,0.1661394238471985,,,0.2666666805744171,0.14273694157600403,0.0,0.0,,,0.45614033937454224,0.23709850013256073
conic,nnunet,3,3,consep_10,,,0.6239752173423767,0.383053183555603,0.27053138613700867,0.1435440182685852,0.6896551847457886,0.4559493064880371,1.0,0.6333333253860474,,,0.5357142686843872,0.2993859648704529
conic,nnunet,3,3,pannuke_2,,,0.22149573266506195,0.14619556069374084,0.42444443702697754,0.24670203030109406,0.19230769574642181,0.15496133267879486,0.0,0.0,,,0.26923078298568726,0.18311890959739685
conic,nnunet,3,3,pannuke_11,,,0.5437431335449219,0.3631025552749634,,,0.7215189933776855,0.5014000535011292,0.6756756901741028,0.47108036279678345,0.0,0.0,0.7777777910232544,0.47992977499961853
conic,nnunet,3,3,pannuke_13,,,0.3386870324611664,0.17891213297843933,0.23489932715892792,0.11531959474086761,0.4769230782985687,0.2824023365974426,0.3571428656578064,0.19682824611663818,0.23076923191547394,0.10021978616714478,0.3937007784843445,0.19979064166545868
conic,nnunet,3,3,pannuke_15,0.0,0.0,0.31975749135017395,0.17665624618530273,0.44802868366241455,0.23795783519744873,0.413173645734787,0.22562532126903534,0.5846154093742371,0.31837087869644165,0.0,0.0,0.4727272689342499,0.2779834568500519
conic,nnunet,3,3,pannuke_20,1.0,0.4000000059604645,0.6976190209388733,0.3584134876728058,,,0.6000000238418579,0.36684650182724,1.0,0.5699999928474426,,,0.190476194024086,0.09680736064910889
